expression
"Fantasy(TheHobbit)"
"Fantasy(TheLordOfTheRings)"
"Fantasy(HarryPotter)"
"Author(JKRowling)"
"Author(JRRTolkien)"
"Wrote(JKRowling,HarryPotter)"
"Wrote(JRRTolkien,TheHobbit)"
"Fantasy(x) -> Fiction(x)"
"Fiction(x) -> Book(x)"
"Book(x) -> Readable(x)"
"Fantasy(x) -> -Nonfiction(x)"
"Nonfiction(x) -> -Fantasy(x)"
"Sciencefiction(x) -> -Nonfiction(x)"
"Nonfiction(x) -> -Sciencefiction(x)"
"Romance(x) -> -Nonfiction(x)"
"Nonfiction(x) -> -Romance(x)"
"Horror(x) -> -Nonfiction(x)"
"Nonfiction(x) -> -Horror(x)"
"SelfHelp(x) -> Nonfiction(x)"
